,mean_d18O,mean_d2H,mean_DEX,stdev_d18O,stdev_d2H,stdev_DEX,month,year,lat,lon,SITE_ID,type,volumes
1,-16.66,-124.12,9.16,0.08026,0.25398,0.340645242,5,2015,40.629605,-111.852024,JVWCD-004,supply_site,
2,-16.61,-123.98,8.92,0.06242,0.28658,0.336597902,5,2015,40.645437,-111.8628,JVWCD-061,supply_site,
3,-16.6,-123.96,8.84,0.05439,0.13534,0.204897761,5,2015,40.6432,-111.853752,JVWCD-042,supply_site,
4,-16.7,-123.88,9.71,0.02669,0.07201,0.104327795,5,2015,40.632038,-111.857198,JVWCD-049,supply_site,
5,-16.62,-123.87,9.08,0.03522,0.11171,0.149675353,5,2015,40.638722,-111.858556,JVWCD-045,supply_site,
6,-16.7,-123.7,9.91,0.01724,0.28594,0.290067965,5,2015,40.653687,-111.853077,JVWCD-002,supply_site,
7,-16.22,-121.35,8.41,0.02602,0.20931,0.221871583,5,2015,40.695068,-111.882332,JVWCD-013,supply_site,
8,-16.26,-121.33,8.78,0.09857,0.38877,0.478404089,5,2015,40.684304,-111.911173,JVWCD-024,supply_site,
9,-16.2,-121.2,8.38,0.04339,0.08759,0.150776473,5,2015,40.691788,-111.914146,JVWCD-056,supply_site,
10,-16.2,-121.04,8.58,0.0314,0.04948,0.101665876,5,2015,40.688747,-111.875144,JVWCD-038,supply_site,
11,-16.2,-120.95,8.66,0.01771,0.04689,0.068613591,5,2015,40.694437,-111.905426,JVWCD-036,supply_site,
12,-16.12,-120.87,8.06,0.02345,0.19432,0.205327744,5,2015,40.695765,-111.898175,JVWCD-017,supply_site,
13,-16.16,-120.81,8.47,0.06044,0.25986,0.311048498,5,2015,40.69434,-111.920715,JVWCD-019,supply_site,
14,-16.21,-120.75,8.96,0.02582,0.10408,0.127145687,5,2015,40.682745,-111.876451,JVWCD-025,supply_site,
15,-16.18,-120.75,8.71,0.0086,0.1067,0.109437516,5,2015,40.682916,-111.899196,JVWCD-026,supply_site,
16,-16.17,-120.72,8.66,0.00591,0.13777,0.138780394,5,2015,40.689383,-111.893975,JVWCD-021,supply_site,
17,-16.13,-120.38,8.64,0.03886,0.23912,0.263171372,5,2015,40.692962,-111.869656,JVWCD-054,supply_site,
18,-16.11,-120.32,8.59,0.05503,0.15263,0.217996156,5,2015,40.675527,-111.870602,JVWCD-053,supply_site,
19,-16,-120.26,7.75,0.03956,0.21636,0.243580784,5,2015,40.698125,-111.9112,JVWCD-016,supply_site,
20,-16.04,-120.17,8.18,0.01178,0.08454,0.09086891,5,2015,40.678411,-111.880073,JVWCD-022,supply_site,
21,-16.06,-120.14,8.37,0.09074,0.34207,0.427646894,5,2015,40.684775,-111.882575,JVWCD-023,supply_site,
22,-15.91,-119.51,7.78,0.03655,0.42465,0.437052448,5,2015,40.670696,-111.87062,JVWCD-028,supply_site,
23,-15.42,-118.8,4.55,0.09285,0.3566,0.442868536,5,2015,40.498096,-111.891647,JVWCD-003,supply_site,
24,-15.37,-118.0433333,4.906666667,0.083812657,0.31531016,0.394483192,5,2015,40.726782,-111.979864,JVWCD-020,supply_site,
25,-15.475,-116.945,6.855,0.049199726,0.191051292,0.236358838,5,2015,40.475924,-111.906062,JVWCD-065,supply_site,
26,-15.64,-118.4,6.7,0.0089,0.19371,0.195338793,5,2015,40.647078,-112.005548,JVWCD-041,supply_site,
27,-15.68,-118.27,7.13,0.01816,0.10447,0.116414199,5,2015,40.567822,-112.036117,JVWCD-043,supply_site,
28,-15.75,-118.18,7.81,0.03025,0.2063,0.223338734,5,2015,40.658513,-111.859695,JVWCD-035,supply_site,
29,-15.56,-118.06,6.44,0.02698,0.23833,0.25024898,5,2015,40.49752,-112.005697,JVWCD-005,supply_site,
30,-15.44,-117.92,5.6,0.09768,0.42257,0.504872721,5,2015,40.642764,-111.977307,JVWCD-067,supply_site,
31,-15.42,-117.89,5.47,0.0291,0.13376,0.157054824,5,2015,40.682123,-112.063211,JVWCD-052,supply_site,
32,-15.38,-117.85,5.16,0.03623,0.15184,0.183183757,5,2015,40.67476,-111.981562,JVWCD-027,supply_site,
33,-15.4,-117.765,5.445,0.069046844,0.420456902,0.463598683,5,2015,40.587804,-111.967287,JVWCD-060,supply_site,
34,-15.27,-117.77,4.4,0.02207,0.13944,0.152774974,5,2015,40.566134,-111.976416,JVWCD-018,supply_site,
35,-15.67,-117.57,7.77,0.05131,0.18283,0.2334278,5,2015,40.653032,-111.861725,JVWCD-037,supply_site,
36,-15.46,-117.56,6.09,0.03454,0.07345,0.122225183,5,2015,40.667575,-112.034515,JVWCD-044,supply_site,
37,-15.41,-117.49,5.77,0.0384,0.23769,0.261329325,5,2015,40.667402,-112.005725,JVWCD-030,supply_site,
38,-15.43,-117.22,6.2,0.0579,0.388,0.421145201,5,2015,40.594998,-111.824342,JVWCD-010,supply_site,
39,-15.445,-116.58,6.995,0.068318464,0.251641837,0.317274194,5,2015,40.536962,-112.024307,JVWCD-039,supply_site,
40,-15.4,-116.52,6.68,0.02259,0.11165,0.128639758,5,2015,40.638463,-111.966966,JVWCD-015,supply_site,
41,-15.83,-116.47,10.19,0.0349,0.17881,0.204247634,5,2015,40.589546,-111.809038,JVWCD-059,supply_site,
42,-15.5,-116.42,7.57,0.02232,0.13752,0.151318239,5,2015,40.634095,-111.866393,JVWCD-046,supply_site,
43,-15.62,-116.4,8.56,0.02465,0.05892,0.091282783,5,2015,40.663761,-111.816449,JVWCD-011,supply_site,
44,-15.46,-116.32,7.38,0.07661,0.41882,0.471553739,5,2015,40.615073,-111.877101,JVWCD-033,supply_site,
45,-15.44,-116.265,7.225,0.111297001,0.408891832,0.516031694,5,2015,40.573302,-111.82455,JVWCD-009,supply_site,
46,-15.42,-116.23,7.1,0.08517,0.24357,0.342575212,5,2015,40.494011,-112.011239,JVWCD-006,supply_site,
47,-15.5,-116.16,7.87,0.04705,0.12515,0.182680438,5,2015,40.522978,-112.009369,JVWCD-031,supply_site,
48,-15.42,-116.12,7.21,0.01934,0.09627,0.110725777,5,2015,40.483202,-112.014666,JVWCD-064,supply_site,
49,-15.54,-116.06,8.28,0.04159,0.20209,0.233833686,5,2015,40.54415,-111.967989,JVWCD-014,supply_site,
50,-15.5,-116.05,7.97,0.0333,0.19413,0.215772048,5,2015,40.672496,-111.85711,JVWCD-055,supply_site,
51,-15.49,-115.98,7.92,0.03837,0.1104,0.154810255,5,2015,40.543768,-111.829323,JVWCD-008,supply_site,
52,-15.52,-115.98,8.17,0.03385,0.04468,0.105654543,5,2015,40.50828,-112.024109,JVWCD-040,supply_site,
53,-15.43,-115.92,7.55,0.01988,0.11646,0.129323806,5,2015,40.638609,-111.957308,JVWCD-012,supply_site,
54,-15.76,-115.87,10.23,0.0402,0.18336,0.215752658,5,2015,40.661895,-111.821229,JVWCD-032,supply_site,
55,-15.43,-115.78,7.67,0.05673,0.41389,0.443904579,5,2015,40.624264,-111.865347,JVWCD-051,supply_site,
56,-15.38,-115.75,7.27,0.04275,0.03253,0.125214619,5,2015,40.634829,-111.9388,JVWCD-047,supply_site,
57,-15.48,-115.72,8.11,0.04158,0.10166,0.155453938,5,2015,40.632013,-111.92928,JVWCD-048,supply_site,
