SL.NO,ID,ID2,Site_ID,MONTH,DAY,YEAR,date,Latitude,Longitude,d18O,d2H,DEX,d18O_sd,d2H_sd,DEX_sd,Address,Address_code,City,State_or_Province,Country,Type2,Site_Description,Notes
1018,15051904-01,15-102,JVWCD-088,5,19,2015,5/19/2015,40.580732,-111.827718,-15.33,-116.11,6.57,0.08343,0.33829,0.412461687,"9390 S Solena Way, Sandy, UT",WL-Solena Way,Salt Lake City,UT,USA,Well,Source,
1002,15050402-10,15-102,JVWCD-084,5,4,2015,5/4/2015,40.625446,-111.849768,-16.49,-123.21,8.73,0.01719,0.16285,0.169953203,WL-1300 E 7000 S,WL-1300 E 7000 S,Salt Lake City,UT,USA,WTP,Source,Approximate Location
739,15052703-01,15-102,JVWCD-063,5,27,2015,5/27/2015,40.602075,-111.928449,-15.68,-121.2,4.26,0.182,0.44572,0.680924606,"8275 1300 W West Jordan, UT 84088",DS-Educational center Mechanical Room,Salt Lake City,UT,USA,WTP,Source,Situated inside south west groundwater treatment plant
741,15050605-01,15-102,JVWCD-063,5,6,2015,5/6/2015,40.602075,-111.928449,-15.43,-118.82,4.61,0.03383,0.10676,0.14336474,"8275 1300 W West Jordan, UT 84088",DS-Educational center Mechanical Room,Salt Lake City,UT,USA,WTP,Source,Situated inside south west groundwater treatment plant
742,15051201-01,15-102,JVWCD-063,5,12,2015,5/12/2015,40.602075,-111.928449,-15.32,-118.38,4.18,0.01394,0.05791,0.070058239,"8275 1300 W West Jordan, UT 84088",DS-Educational center Mechanical Room,Salt Lake City,UT,USA,WTP,Source,Situated inside south west groundwater treatment plant
818,15051906-02,15-102,JVWCD-069,5,19,2015,5/19/2015,40.473194,-111.966059,-15.29,-118.25,4.09,0.03355,0.18295,0.206095906,"15305 3200 W Herriman, UT 84065",JV-Effluent at IOB,Salt Lake City,UT,USA,WTP,Source,effluent from JVWTP
822,15052704-03,15-102,JVWCD-069,5,27,2015,5/27/2015,40.473194,-111.966059,-15.31,-118.19,4.28,0.03876,0.0541,0.122251834,"15305 3200 W Herriman, UT 84065",JV-Effluent at IOB,Salt Lake City,UT,USA,WTP,Source,effluent from JVWTP
817,15051203-04,15-102,JVWCD-069,5,12,2015,5/12/2015,40.473194,-111.966059,-15.3,-118.03,4.36,0.00969,0.12101,0.124074933,"15305 3200 W Herriman, UT 84065",JV-Effluent at IOB,Salt Lake City,UT,USA,WTP,Source,effluent from JVWTP
885,15051202-06,15-102,JVWCD-072,5,12,2015,5/12/2015,40.541066,-111.819048,-15.35,-115.29,7.5,0.02236,0.13728,0.151147462,"11574 Wyndcastle Dr, Sandy, UT 84092",SE-Clearwell Effluent,Salt Lake City,UT,USA,WTP,Source,effluent from SEWTP
890,15052705-02,15-102,JVWCD-072,5,27,2015,5/27/2015,40.541066,-111.819048,-15.42,-115.23,8.1,0.02733,0.07456,0.107399371,"11574 Wyndcastle Dr, Sandy, UT 84092",SE-Clearwell Effluent,Salt Lake City,UT,USA,WTP,Source,effluent from SEWTP
